File to parse: ../Downloads/characters.901225-01.bin
0306 00774 000 00 ........
0307 00775 000 00 ........

0308 00776 240 f0 ****....
0309 00777 240 f0 ****....
030a 00778 240 f0 ****....
030b 00779 240 f0 ****....
030c 00780 240 f0 ****....
030d 00781 240 f0 ****....
030e 00782 240 f0 ****....
030f 00783 240 f0 ****....

0310 00784 000 00 ........
0311 00785 000 00 ........
0312 00786 000 00 ........
0313 00787 000 00 ........
0314 00788 255 ff ********
0315 00789 255 ff ********
0316 00790 255 ff ********
0317 00791 255 ff ********

0318 00792 255 ff ********
0319 00793 000 00 ........
031a 00794 000 00 ........
031b 00795 000 00 ........
031c 00796 000 00 ........
031d 00797 000 00 ........
031e 00798 000 00 ........
031f 00799 000 00 ........

0320 00800 000 00 ........
0321 00801 000 00 ........
0322 00802 000 00 ........
0323 00803 000 00 ........
0324 00804 000 00 ........
0325 00805 000 00 ........
0326 00806 000 00 ........
0327 00807 255 ff ********

0328 00808 192 c0 **......
0329 00809 192 c0 **......
032a 00810 192 c0 **......
032b 00811 192 c0 **......
032c 00812 192 c0 **......
032d 00813 192 c0 **......
032e 00814 192 c0 **......
032f 00815 192 c0 **......

0330 00816 204 cc **..**..
0331 00817 204 cc **..**..
0332 00818 051 33 ..**..**
0333 00819 051 33 ..**..**
0334 00820 204 cc **..**..
0335 00821 204 cc **..**..
0336 00822 051 33 ..**..**
0337 00823 051 33 ..**..**

0338 00824 003 03 ......**
0339 00825 003 03 ......**
033a 00826 003 03 ......**
033b 00827 003 03 ......**
033c 00828 003 03 ......**
033d 00829 003 03 ......**
033e 00830 003 03 ......**
033f 00831 003 03 ......**

0340 00832 000 00 ........
0341 00833 000 00 ........
0342 00834 000 00 ........
0343 00835 000 00 ........
0344 00836 204 cc **..**..
0345 00837 204 cc **..**..
0346 00838 051 33 ..**..**
0347 00839 051 33 ..**..**

0348 00840 255 ff ********
0349 00841 254 fe *******.
034a 00842 252 fc ******..
034b 00843 248 f8 *****...
034c 00844 240 f0 ****....
034d 00845 224 e0 ***.....
034e 00846 192 c0 **......
034f 00847 128 80 *.......

0350 00848 003 03 ......**
0351 00849 003 03 ......**
0352 00850 003 03 ......**
0353 00851 003 03 ......**
0354 00852 003 03 ......**
0355 00853 003 03 ......**
0356 00854 003 03 ......**
0357 00855 003 03 ......**

0358 00856 024 18 ...**...
0359 00857 024 18 ...**...
035a 00858 024 18 ...**...
035b 00859 031 1f ...*****
035c 00860 031 1f ...*****
035d 00861 024 18 ...**...
035e 00862 024 18 ...**...
035f 00863 024 18 ...**...

0360 00864 000 00 ........
0361 00865 000 00 ........
0362 00866 000 00 ........
0363 00867 000 00 ........
0364 00868 015 0f ....****
0365 00869 015 0f ....****
0366 00870 015 0f ....****
0367 00871 015 0f ....****

0368 00872 024 18 ...**...
0369 00873 024 18 ...**...
036a 00874 024 18 ...**...
036b 00875 031 1f ...*****
036c 00876 031 1f ...*****
036d 00877 000 00 ........
036e 00878 000 00 ........
036f 00879 000 00 ........

0370 00880 000 00 ........
0371 00881 000 00 ........
0372 00882 000 00 ........
0373 00883 248 f8 *****...
0374 00884 248 f8 *****...
0375 00885 024 18 ...**...
0376 00886 024 18 ...**...
0377 00887 024 18 ...**...

0378 00888 000 00 ........
0379 00889 000 00 ........
037a 00890 000 00 ........
037b 00891 000 00 ........
037c 00892 000 00 ........
037d 00893 000 00 ........
037e 00894 255 ff ********
037f 00895 255 ff ********

0380 00896 000 00 ........
0381 00897 000 00 ........
0382 00898 000 00 ........
0383 00899 031 1f ...*****
0384 00900 031 1f ...*****
0385 00901 024 18 ...**...
0386 00902 024 18 ...**...
0387 00903 024 18 ...**...

0388 00904 024 18 ...**...
0389 00905 024 18 ...**...
038a 00906 024 18 ...**...
038b 00907 255 ff ********
038c 00908 255 ff ********
038d 00909 000 00 ........
038e 00910 000 00 ........
038f 00911 000 00 ........

0390 00912 000 00 ........
0391 00913 000 00 ........
0392 00914 000 00 ........
0393 00915 255 ff ********
0394 00916 255 ff ********
0395 00917 024 18 ...**...
0396 00918 024 18 ...**...
0397 00919 024 18 ...**...

0398 00920 024 18 ...**...
0399 00921 024 18 ...**...
039a 00922 024 18 ...**...
039b 00923 248 f8 *****...
039c 00924 248 f8 *****...
039d 00925 024 18 ...**...
039e 00926 024 18 ...**...
039f 00927 024 18 ...**...

03a0 00928 192 c0 **......
03a1 00929 192 c0 **......
03a2 00930 192 c0 **......
03a3 00931 192 c0 **......
03a4 00932 192 c0 **......
